,Open,High,Low,Close,Date
256,35862.44140625,35862.44140625,35862.44140625,35862.44140625,2000-12-27
257,35862.44140625,35862.44140625,35862.44140625,35862.44140625,2000-12-28
258,35862.44140625,35862.44140625,35862.44140625,35862.44140625,2000-12-29
259,35862.44140625,35862.44140625,35862.44140625,35862.44140625,2001-01-01
260,37438.80859375,37793.492043585524,36256.53042763158,37438.80859375,2001-01-02
261,37123.528435202206,37793.485954733456,36729.43577665441,37517.62109375,2001-01-03
262,39724.54478744939,39724.54478744939,38463.44812753036,38936.359375,2001-01-04
263,38936.36507888349,41379.74021541262,38581.68159132281,40591.5546875,2001-01-05
264,40118.64337075243,40906.82889866505,39724.55060679612,40591.5546875,2001-01-08
265,40197.455547022684,42483.193215382795,39803.36284558129,41695.0078125,2001-01-09
266,40985.639973958336,42089.09951171875,37832.8984375,37832.8984375,2001-01-10
267,40906.83084821429,42562.02053571429,39803.37105654762,41379.7421875,2001-01-11
268,42483.198408917684,45635.9404058689,42325.56130907012,45241.84765625,2001-01-12
269,46187.67132721202,48946.32063856427,45399.4858096828,47212.3125,2001-01-15
270,47369.953125,47764.04591306156,46581.76754887687,47369.953125,2001-01-16
271,46660.578047263676,48709.86019123134,45714.7555192786,47527.58203125,2001-01-17
272,48079.31146694215,48394.58564049587,46975.85185950413,47685.21875,2001-01-18
273,48079.31067288306,49419.22588835685,47764.03650453629,48867.49609375,2001-01-19
274,49261.59512465167,49576.869333449446,48158.13539385948,49498.05078125,2001-01-22
275,49498.05078125,49498.05078125,49498.05078125,49498.05078125,2001-01-23
276,49498.05078125,49498.05078125,49498.05078125,49498.05078125,2001-01-24
277,49498.05078125,49498.05078125,49498.05078125,49498.05078125,2001-01-25
278,48473.4111328125,48788.6853515625,45714.76171875,45714.76171875,2001-01-26
279,44138.38934254606,47527.58709563442,44138.38934254606,47054.67578125,2001-01-29
280,48079.318359375,48079.318359375,46581.765820312496,47291.1328125,2001-01-30
281,47921.67438016529,47921.67438016529,46975.85185950413,47685.21875,2001-01-31
282,47291.12685381356,47764.038122351696,46502.94140625,46502.94140625,2001-02-01
283,47212.305409663866,47212.305409663866,45872.39023109244,46897.03125,2001-02-02
284,45320.665322580644,46581.7620967742,45084.209677419356,46424.125,2001-02-05
285,46424.1287109375,47291.1328125,46030.0359375,47291.1328125,2001-02-06
286,47291.13105175292,47527.58670701168,46108.8527754591,47212.3125,2001-02-07
287,47212.31501750203,48788.68613661729,47212.31501750203,48552.23046875,2001-02-08
288,48079.318732856584,50601.512502449055,47685.22595635775,50286.23828125,2001-02-09
289,49813.327315167684,51783.79121212843,49655.69020341082,51704.97265625,2001-02-12
290,51941.42300559916,51941.42300559916,50995.60043190084,51468.51171875,2001-02-13
291,51468.50949835526,53202.51747532895,51232.05386513158,52414.33203125,2001-02-14
292,53596.61226851852,54227.16064814815,52650.78969907408,53202.51953125,2001-02-15
293,53360.15751657196,53360.15751657196,51704.96799242424,52020.2421875,2001-02-16
294,52020.24824544765,52020.24824544765,50680.33276033763,51941.4296875,2001-02-19
295,51941.41445945324,53517.78515625,51468.50325041421,53517.78515625,2001-02-20
296,52887.23611833397,53990.69559025152,52099.05078125001,52099.05078125,2001-02-21
297,51389.69427544248,53517.79511200222,50443.871681415934,53438.9765625,2001-02-22
298,53438.98503917507,55172.9934032781,53438.98503917507,54700.08203125,2001-02-23
299,55094.174841273416,55251.81196528279,54463.626345235956,54700.08203125,2001-02-26
300,55172.98167551244,55330.61876601391,52493.15113698755,53833.06640625,2001-02-27
301,53281.33658346334,53281.33658346334,50443.86895475819,50522.6875,2001-02-28
302,50522.6875,50522.6875,50522.6875,50522.6875,2001-03-01
303,50443.86693548387,50443.86693548387,48000.49213079637,48867.49609375,2001-03-02
304,48079.317421259846,50759.14822834646,48079.317421259846,50049.78125,2001-03-05
305,49340.421056547624,49970.96956845238,48946.32823660714,49655.6953125,2001-03-06
306,49813.31986434109,51153.23511385659,49655.682776162794,50837.9609375,2001-03-07
307,51783.7876827695,51783.7876827695,50286.235223146025,51547.33203125,2001-03-08
308,51153.22939513781,51862.59621263587,50365.04404236219,50759.13671875,2001-03-09
309,48473.4058764688,49813.321160859,48236.950238047,48631.04296875,2001-03-12
310,46266.4916015625,47685.2255859375,45635.9431640625,47291.1328125,2001-03-13
311,47291.1328125,47291.1328125,47291.1328125,47291.1328125,2001-03-14
312,46897.03353125,49261.58984375,45714.755375,49261.58984375,2001-03-15
313,48867.49887679713,49340.41015625,48158.131957617814,49340.41015625,2001-03-16
314,48867.50153186274,49892.142693014706,47685.2232689951,48236.953125,2001-03-19
315,49576.86328125,49970.95599413752,48631.04077031995,49576.86328125,2001-03-20
316,49182.7725,51626.14741586538,48867.49831730769,51232.0546875,2001-03-21
317,50443.869230769225,51389.69177884615,50207.413593749996,51232.0546875,2001-03-22
318,51232.0546875,52335.514326923076,50995.59905048077,51232.0546875,2001-03-23
319,52414.33480230068,52966.06464232489,51783.786413701564,52887.24609375,2001-03-26
320,52650.79453125,52808.431640625,50443.875,50443.875,2001-03-27
321,50443.86035313002,50837.953012138845,49103.9453125,49103.9453125,2001-03-28
322,47842.85413981959,48788.67662693299,45478.29792203608,45872.390625,2001-03-29
323,43823.10434027778,44926.563802083336,41222.09275173611,42562.0078125,2001-03-30
324,42562.01551156987,43901.930814711886,41458.5558501588,43429.01953125,2001-04-02
325,42562.00925090253,43744.28728564982,42325.55364395307,43665.46875,2001-04-03
326,42562.01600255576,43586.657128543215,41852.64906917983,42404.37890625,2001-04-04
327,42404.37890625,42404.37890625,42404.37890625,42404.37890625,2001-04-05
328,46345.29739583333,46345.29739583333,42483.18927951389,42562.0078125,2001-04-06
329,42404.37467509452,43192.560077977316,41695.0078125,41695.0078125,2001-04-09
330,43113.74837682039,43113.74837682039,40276.28047633495,40591.5546875,2001-04-10
331,41458.560964858945,41537.379521826355,39882.18982551069,40512.73828125,2001-04-11
332,40827.99970574388,42167.91475400189,40197.45144774012,41852.640625,2001-04-12
333,42167.92338709678,42246.74193548387,40985.645161290326,41537.375,2001-04-13
334,41773.83673954372,41773.83673954372,41143.28826045627,41458.5625,2001-04-16
335,41537.36967736165,42167.917983659354,41300.9140625,41300.9140625,2001-04-17
336,41537.37306113139,43350.19958941606,41379.73597171532,43192.5625,2001-04-18
337,45241.84019886364,47054.666548295456,44768.92897727273,45084.203125,2001-04-19
338,44926.56640625,45635.933244243424,44532.47371847588,44926.56640625,2001-04-20
339,45478.29833040422,45951.20957820738,44532.47583479789,44847.75,2001-04-23
340,44138.38503649635,44690.114849452555,42719.65123175182,43192.5625,2001-04-24
341,43192.5625,44296.02212591241,42956.10686587591,43192.5625,2001-04-25
342,43192.5625,44296.02212591241,42956.10686587591,43192.5625,2001-04-26
343,42562.01600255576,43271.38293593169,41931.46761733271,42404.37890625,2001-04-27
344,42562.02010968921,43980.754113345516,42562.02010968921,43113.75,2001-04-30
345,43113.75,43113.75,43113.75,43113.75,2001-05-01
346,44059.57405539773,44059.57405539773,42956.11424005682,43350.20703125,2001-05-02
347,43744.2978515625,45714.76171875,43113.7494140625,45714.76171875,2001-05-03
348,45163.028225806454,46424.125,44926.57258064517,46424.125,2001-05-04
349,47133.4929503367,47133.4929503367,45793.57759890572,46818.21875,2001-05-07
350,46581.76446686558,47921.67985762144,45793.578942891545,47054.67578125,2001-05-08
351,46266.48577198094,46818.21558527542,45320.66323490466,46502.94140625,2001-05-09
352,45793.580273437496,46345.31015625,45163.0318359375,45714.76171875,2001-05-10
353,45714.752145686616,45714.752145686616,44532.474072953344,44768.9296875,2001-05-11
354,45163.03678788717,45557.129604535396,44532.48828125,44532.48828125,2001-05-14
355,44532.472642148015,45163.02092734657,43429.01314305054,43665.46875,2001-05-15
